title,author,bookInfo,authorInfo
The Mirror of My Heart,Author > 1,"An anthology of verse by women poets writing in Persian, most of whom have never been translated into English before, from acclaimed scholar and translator Dick Davis.A Penguin ClassicThe Mirror of My Heart is a unique and captivating collection of eighty-three Persian women poets, many of whom wrote anonymously or were punished for their outspokenness. One of the very first Persian poets was a woman (Rabe’eh, who lived over a thousand years ago) and there have been women poets writing in Persian in virtually every generation since that time until the present. Before the twentieth century they tended to come from society’s social extremes–many were princesses, some were entertainers, but many were wives and daughters who wrote simply for their own entertainment, and they were active in many different countries – Iran, India, Afghanistan, and areas of central Asia that are now Uzbekistan, Turkmenistan, and Tajikistan. From Rabe’eh in the tenth century to Fatemeh Ekhtesari in the twenty-first, the women poets found in The Mirror of My Heart write across the millennium on such universal topics as marriage, children, political climate, death, and emancipation, recreating life from hundreds of years ago that is strikingly similar to our own today and giving insight into their experiences as women throughout different points of Persian history. The volume is introduced and translated by Dick Davis, a scholar and translator of Persian literature as well as a gifted poet in his own right.","Dick Davis is a translator, a poet, and a scholar of Persian literature who has published more than 20 books. He is currently a professor of Persian at Ohio State University and a fellow of the Royal Society of Literature…. More about Dick Davis"
Shakespeare for Every Day of the Year,Author > 1,"“Shakespeare for Every Day of the Year is not just for Christmas, but for all time.” —Helena Bonham CarterA magnificent collection of 365 passages from Shakespeare’s works, for the Shakespeare scholar and neophyte alike.Make Shakespeare a part of your daily routine with Shakespeare for Every Day of the Year, a yearlong collection of passages from Shakespeare’s greatest works. Drawing from the full spectrum of plays and sonnets to mark each day of the year, whether it’s a scene from Hamlet to celebrate Christmas or a Sonnet in June to help you enjoy a summer’s day. There are also passages to mark important days in the Shakespeare calendar, both from his own life and from his plays: You’ll read a pivotal speech from Julius Caesar on the Ides of March and celebrate Valentine’s day with a sonnet. Every passage is accompanied by an enlightening note to teach you its significance and help you better appreciate the timelessness and poetry of Shakespeare’s words. Shakespeare for Every Day of the Year will give you a thoughtful way reflect on each day, all while giving you a deeper appreciation for the most famous writer in the English language.",Author error: Sorry I am a failure :( 
Devotions,Mary Oliver,"A New York Times Bestseller, chosen as Oprah’s “Books That Help Me Through” for Oprah’s Book Club“No matter where one starts reading, Devotions offers much to love, from Oliver’s exuberant dog poems to selections from the Pulitzer Prize-winning American Primitive, and Dream Work, one of her exceptional collections. Perhaps more important, the luminous writing provides respite from our crazy world and demonstrates how mindfulness can define and transform a life, moment by moment, poem by poem.” —The Washington Post“It’s as if the poet herself has sidled beside the reader and pointed us to the poems she considers most worthy of deep consideration.” —Chicago TribunePulitzer Prize-winning poet Mary Oliver presents a personal selection of her best work in this definitive collection spanning more than five decades of her esteemed literary career.Throughout her celebrated career, Mary Oliver has touched countless readers with her brilliantly crafted verse, expounding on her love for the physical world and the powerful bonds between all living things. Identified as “far and away, this country’s best selling poet” by Dwight Garner, she now returns with a stunning and definitive collection of her writing from the last fifty years.Carefully curated, these 200 plus poems feature Oliver’s work from her very first book of poetry, No Voyage and Other Poems, published in 1963 at the age of 28, through her most recent collection, Felicity, published in 2015. This timeless volume, arranged by Oliver herself, showcases the beloved poet at her edifying best. Within these pages, she provides us with an extraordinary and invaluable collection of her passionate, perceptive, and much-treasured observations of the natural world.","Born in a small town in Ohio, Mary Oliver published her first book of poetry in 1963 at the age of 28. Over the course of her long career, she received numerous awards. Her fourth book, American Primitive, won the Pulitzer Prize for… More about Mary Oliver"
A Mary Oliver Collection,Mary Oliver,"A stunning collection of four of Mary Oliver’s most beloved books of poetry, A Thousand Mornings, Blue Horses, Dog Songs, and Felicity, packaged together for the first timeThroughout her career, Mary Oliver touched innumerable readers with her brilliantly crafted verse. In this box set, containing her four most recently published collections, she returns to the imagery and subjects that have come to define her life’s work: transporting us to the coastline of her beloved home, Provincetown; reminding us of what it truly means to belong to the natural world;, celebrating the special bond between human and dog, and expounding on the wild and the quiet within our own hearts. Within every book, Oliver honors life, love, and beauty. This beautifully designed set is the perfect gift for every occasion, and a wonderful addition to the library of both longtime fans and new readers.","Born in a small town in Ohio, Mary Oliver published her first book of poetry in 1963 at the age of 28. Over the course of her long career, she received numerous awards. Her fourth book, American Primitive, won the Pulitzer Prize for… More about Mary Oliver"
African American Poetry: 250 Years of Struggle & Song (LOA #333),Author > 1,"A literary landmark: the biggest, most ambitious anthology of Black poetry ever published, gathering 250 poets from the colonial period to the presentAcross a turbulent history, from such vital centers as Harlem, Chicago, Washington, D.C., Los Angeles, and the Bay Area, Black poets created a rich and multifaceted tradition that has been both a reckoning with American realities and an imaginative response to them. Capturing the power and beauty of this diverse tradition in a single indispensable volume, African American Poetry reveals as never before its centrality and its challenge to American poetry and culture.One of the great American art forms, African American poetry encompasses many kinds of verse: formal, experimental, vernacular, lyric, and protest. The anthology opens with moving testaments to the power of poetry as a means of self-assertion, as enslaved people like Phillis Wheatley and George Moses Horton and activist Frances Ellen Watkins Harper voice their passionate resistance to slavery. Young’s fresh, revelatory presentation of the Harlem Renaissance reexamines the achievements of Langston Hughes and Countee Cullen alongside works by lesser-known poets such as Gwendolyn B. Bennett and Mae V. Cowdery. The later flowering of the still influential Black Arts Movement is represented here with breadth and originality, including many long out-of-print or hard-to-find poems.Here are all the significant movements and currents: the nineteenth-century Francophone poets known as Les Cenelles, the Chicago Renaissance that flourished around Gwendolyn Brooks, the early 1960s Umbra group, and the more recent work of writers affiliated with Cave Canem and the Dark Room Collective. Here too are poems of singular, hard-to-classify figures: the enslaved potter David Drake, the allusive modernist Melvin B. Tolson, the Cleveland-based experimentalist Russell Atkins. This Library of America volume also features biographies of each poet and notes that illuminate cultural references and allusions to historical events.",Kevin Young is Director of the Schomburg Center for Research in Black Culture at the New York Public Library and poetry editor of The New Yorker. He is the former curator of the Raymond Danowski Poetry Library at Emory University. His books… More about Kevin Young
Selected Poetry,Alexander Pushkin,"Winner of the 2020 Read Russia PrizeA new collection of Pushkin’s great narrative and lyric verse, translated by Antony WoodA Penguin ClassicPushkin’s The Bronze Horseman, based on the statue of Peter the Great in Saint Petersburg and the great flood of 1824, is widely considered to be his most successful narrative poem, the second most famous poem in Russian literature after his Eugene Onegin, and notoriously difficult to translate. One of the most influential works in Russian literature, it will appeal to readers of Dostoyevsky’s The Double, Andrei Biely’s Petersburg, Anna Akhmatova’s poetry, and the works of Nikolai Gogol. This new translation, described by Robert Chandler as “truly wonderfull,” is accompanied here by Pushkin’s greatest shorter verses. They range from lyric poetry to narrative verse based on traditional Russian stories of enchanted tsars and magical fish. Together, they show the dazzling range and achievement of Russia’s greatest poet.","Alexander Pushkin (1799–1837) was a poet, playwright, and novelist who achieved literary prominence before he was twenty. His radical politics led to government censorship and periods of banishment from the capital, but he eventually married a popular society beauty and… More about Alexander Pushkin"
The Sun Also Rises,Ernest Hemingway,"A collectible hardcover edition of Hemingway’s classic novel of post-war disillusionment—the emblematic novel of the Lost Generation—featuring a foreword by Amor Towles, the multimillion-copy bestselling author of A Gentleman in Moscow, Rules of Civility, and The Lincoln Highway.A Penguin Vitae EditionParis in the twenties: Pernod, parties, and expatriate Americans, loose-living on money from home. Jake is wildly in love with Brett Ashley, aristocratic and irresistibly beautiful, with an abandoned, sensuous nature that she cannot change. When the couple drift to Spain to the dazzle of the fiesta and the heady atmosphere of the bullfight, their affair is strained by new passions and new jealousies, and Jake must finally learn that he will never possess the woman that he loves. Penguin Vitae—loosely translated as “Penguin of one’s life”—is a deluxe hardcover series from Penguin Classics celebrating a dynamic and diverse landscape of classic fiction and nonfiction from seventy-five years of classics publishing. Penguin Vitae provides readers with beautifully designed classics that have shaped the course of their lives, and welcomes new readers to discover these literary gifts of personal inspiration, intellectual engagement, and creative originality.","Ernest Hemingway was an American author whose sparse, direct prose style influenced writers the world over. He was the recipient of both the Pulitzer Prize and the Nobel Prize for Literature."
The Archeologist and Selected Sea Stories,Author > 1,"Translated into English for the first time, The Archeologist is a landmark of Greek national literature, and an important document in the history of archeology and classicism. Published for the bicentennial year of the outbreak of the Greek War of Independence.A Penguin ClassicThe year 2021 marks the bicentennial of the outbreak of the Greek War of Independence. This historical milestone provides the impetus for a new period of intensified reflection on the past, present, and future of Greece, especially in light of recent financial and humanitarian challenges the country has found itself facing: the debt crisis that began in the last days of 2009 and the migration crisis five years later. These crises had already stirred renewed and often animated debate about Greek national identity, especially in relation to Europe, and the legacy of classical antiquity remains central to how that relationship is imagined. Where does Greece fit into the modern world and what role, if any, should its celebrated and idealized antiquity play in the country’s national identity? More than a century ago, Karkavitsas’s The Archeologist (1904) helped to articulate and frame these kinds of questions. The work is an allegory of Greek nationalism that is stylized as a folktale about Aristodemus and Dimitrakis Eumorphopoulos, two brothers and descendants of the illustrious Eumorphopoulos line. For centuries, the family had been persecuted by the Khan family, but when the Khan dynasty starts to topple, the Eumorphopoulos family resolves to regain their ancestral lands and restore their line’s ancient glory. Yet the two brothers disagree about the best path forward into the future. Aristodemus insists, to the point of mania, that they must look only to the ancient past—to the family’s ancient language, texts, religion, and monuments; Dimitrakis, on the other hand, exuberantly embraces the present. The Archeologist, however, attempts to map and dramatize the tensions that were violently brewing in the Balkans at the turn of the twentieth century and which, within a decade of the work’s publication, would contribute to the outbreak of World War I. Also included in this edition are a selection of “sea tales,” which Karkavitsas heard from sailors during his extensive time aboard ships in the Mediterranean. Considered as indigenous to Greek literature, the four sea stories represent some of the best known of the Tales from the Prow. “The Gorgon,” one of Karkavitsas’s shortest sea stories, is also one of the most famous.",Author error: Sorry I am a failure :( 
In the Time of the Butterflies,Julia Alvarez,"A collectible hardcover edition of Julia Alvarez’s modern Latinx classic about four sisters known as Las Mariposas, or the Butterflies, who fought to liberate the Dominican Republic from Rafael Trujillo’s dictatorship, featuring a new foreword by Maxine Hong KingstonA Penguin Vitae EditionIt is November 25, 1960, and three sisters have been found near their wrecked Jeep at the bottom of a 150-foot cliff on the north coast of the Dominican Republic. The official state newspaper reports their deaths as accidental. It does not mention that a fourth sister lives. Nor does it explain that the sisters were among the leading opponents of the dictatorship of General Rafael Leónidas Trujillo. It doesn’t have to. Everybody knows of Las Mariposas–the Butterflies. In this extraordinary novel, the voices of all four sisters–Minerva, Patria, María Teresa, and the survivor, Dedé–speak across the decades to tell their own stories, from secret crushes to gunrunning, and to describe the everyday horrors of life under Trujillo’s rule. Through the art and magic of Julia Alvarez’s storytelling, the martyred Butterflies live again in this novel of courage, love, and the human cost of political oppression.Penguin Vitae—loosely translated as “Penguin of one’s life”—is a deluxe hardcover series from Penguin Classics celebrating a dynamic and diverse landscape of classic fiction and nonfiction from seventy-five years of classics publishing. Penguin Vitae provides readers with beautifully designed classics that have shaped the course of their lives, and welcomes new readers to discover these literary gifts of personal inspiration, intellectual engagement, and creative originality.","Julia Alvarez is the author of the novels How the García Girls Lost Their Accents, In the Time of the Butterflies (a national Book Critics Circle Award finalist), and Yo!. She has also published two poetry collections (Homecoming and The Other side/El Otro Lado) and a collection… More about Julia Alvarez"
How the García Girls Lost Their Accents,Julia Alvarez,"A collectible hardcover thirtieth-anniversary edition of Julia Alvarez’s modern Latinx classic that gives voice to four sisters as they grow up in two cultures, featuring a new foreword by New York Times bestselling, National Book Award–winning novelist Elizabeth AcevedoA Penguin Vitae EditionThe García sisters—Carla, Sandra, Yolanda, and Sofía—and their family must flee their home in the Dominican Republic after the discovery of their father’s role in an attempt to overthrow the brutal dictator Rafael Trujillo. They arrive in New York City in 1960 to a life far removed from their existence in the Caribbean. In the wondrous but not always welcoming United States, their parents try to hold on to their old ways as the girls try to find new lives: by straightening their hair and wearing American fashions, and by forgetting their Spanish. For them, it is at once liberating and excruciating to be caught between the old world and the new. In Julia Alvarez’s beloved first novel, How the García Girls Lost Their Accents, the sisters tell their stories about being at home—and not at home—in America.Penguin Vitae—loosely translated as “Penguin of one’s life”—is a deluxe hardcover series from Penguin Classics celebrating a dynamic and diverse landscape of classic fiction and nonfiction from seventy-five years of classics publishing. Penguin Vitae provides readers with beautifully designed classics that have shaped the course of their lives, and welcomes new readers to discover these literary gifts of personal inspiration, intellectual engagement, and creative originality.","Julia Alvarez is the author of the novels How the García Girls Lost Their Accents, In the Time of the Butterflies (a national Book Critics Circle Award finalist), and Yo!. She has also published two poetry collections (Homecoming and The Other side/El Otro Lado) and a collection… More about Julia Alvarez"
The Penguin Book of Dragons,Author > 1,"Two thousand years of legend and lore about the menace and majesty of dragons, which have breathed fire into our imaginations from ancient Rome to Game of ThronesA Penguin ClassicThe most popular mythological creature in the human imagination, dragons have provoked fear and fascination for their lethal venom and crushing coils, and as avatars of the Antichrist, servants of Satan, couriers of the damned to Hell, portents of disaster, and harbingers of the last days. Here are accounts spanning millennia and continents of these monsters that mark the boundary between the known and the unknown, including: their origins in the deserts of Africa; their struggles with their mortal enemies, elephants, in the jungles of South Asia; their fear of lightning; the world’s first dragon slayer, in an ancient collection of Sanskrit hymns; the colossal sea monster Leviathan; the seven-headed “great red dragon” of the Book of Revelation; the Loch Ness monster; the dragon in Beowulf, who inspired Smaug in Tolkien’s The Hobbit; the dragons in the prophecies of the wizard Merlin; a dragon saved from a centipede in Japan who gifts his human savior a magical bag of rice; the supernatural feathered serpent of ancient Mesoamerica; and a flatulent dragon the size of the Trojan Horse. From the dark halls of the Lonely Mountain to the blue skies of Westeros, we expect dragons to be gigantic, reptilian predators with massive, bat-like wings, who wreak havoc defending the gold they have hoarded in the deep places of the earth. But dragons are full of surprises, as is this book.","Scott G. Bruce is the editor of The Penguin Book of the Undead and The Penguin Book of Hell, and the author of three books about the abbey of Cluny. He is a professor of history at Fordham University in New York City. He worked… More about Scott G. Bruce"
The Adventures of Pinocchio,Author > 1,"A revelatory new edition of the most translated Italian book in the world–soon to be *two* major motion pictures: a Netflix animated version co-directed and co-written by Guillermo del Toro and voiced by Ewan McGregor, Cate Blanchett, and Tilda Swinton, and a Disney Plus live-action version directed by Robert Zemeckis and starring Tom Hanks, Cynthia Erivo, Joseph Gordon-Levitt, Lorraine Bracco, and Keegan-Michael KeyA Penguin Classic Carved from a piece of wood by the old carpenter Geppetto, the puppet Pinocchio comes to life and immediately starts to misbehave. But while this beloved character has achieved literary immortality, the novel has been widely misunderstood. Pinocchio has a penchant for lying, to be sure, but it’s when he avoids going to school that he repeatedly gets into trouble. The Adventures of Pinocchio is thus not a cautionary tale about lying but an unusually timely fable for our increasingly authoritarian times–a story about the importance of education and of preventing others from pulling our strings. This effervescent new translation captures the antic spirit that makes the mischievous, egotistical, and easily distracted Pinocchio a late nineteenth-century prototype for the likes of Bart Simpson. Featuring copious annotations informed by the translators’ deep knowledge of Italy, it reveals the novel to be not only a subversively entertaining children’s book but also a sophisticated satire reflecting the author’s concern for the social inequality of his time and his belief that duty to others is at the core of our humanity.",Author error: Sorry I am a failure :( 
"The Tale of Princess Fatima, Warrior Woman",Author > 1,"Published in English for the first time, and the only Arabic epic named for a woman, The Tale of Princess Fatima recounts the thrilling adventures of a legendary medieval warrior universally known throughout the Middle East and long overdue to join world literature’s pantheon of female heroes.A Penguin ClassicA fearsome, sword-slinging heroine who defeated countless men in stealth attacks on horseback, Dhat al-Himma, or Princess Fatima, was secretly given away at birth because she wasn’t male, only to triumph as the most formidable warrior of her time. Known alternately as “she-wolf,” “woman of high resolve,” and “calamity of the soul,” she lives on in this rousing narrative of female empowerment, in which she leads armies of more than seventy thousand men in clashes between rival tribes and between Muslims and Christians; reconciles with her father after taking him prisoner; and fends off her infatuated cousin, who challenges her to a battle for the right to marry her. Though her cousin suffers an ignominious defeat, he impregnates Fatima against her will and, when she gives birth to a Black son, disowns his own son, who also grows up to be a great warrior, eventually avenging his mother’s honor. The epic culminates in a showdown between Fatima and another formidable warrior woman, and earns Fatima a place alongside the likes of Circe, Mulan, Wonder Woman, Katniss Everdeen and other powerful women.",Author error: Sorry I am a failure :( 
The Green Knight (Movie Tie-In),Anonymous,"The inspiration for the major motion picture The Green Knight starring Dev Patel, an early English poem of magic, chivalry and seduction.Composed during the fourteenth century in the English Midlands, Sir Gawain and the Green Knight describes the events that follow when a mysterious green-coloured knight rides into King Arthur’s Camelot in deep mid-winter. The mighty knight presents a challenge to the court: he will allow himself to be struck by one blow, on the condition that he will be allowed to return the strike on the following New Year’s Eve. Sir Gawain takes up the challenge, decapitating the stranger – only to see the Green Knight seize up his own severed head and ride away, leaving Gawain to seek him out and honour their pact. Blending Celtic myth and Christian faith, Gawain is among the greatest Middle English poems: a tale of magic, chivalry and seduction.",Anonymous.
Kalevala,Author > 1,"The great epic poem of Northern Europe, born deep in the heart of ancient Karelian forestsSharing its title with the poetic name for Finland–“the land of heroes”–Kalevala is the soaring epic poem of the Finnish people. Born of an ancient tradition of folklore and song, Kalevala is a work rich in magic, cosmic mystery and myth, presenting a story of a people through the ages, from the dawn of creation. Sung by rural Finns since prehistoric times, and formally compiled by Elias Lönnrot in the nineteenth century, it is a landmark of Finnish culture and it played a vital role in galvanizing Finland’s national identity in the decades leading up to independence. And yet its tales of tragedy and triumph, adventure and ambition, hope, lust, death and birth, reach far beyond the region’s borders, searching the heart of human existence.","Elias Lönnrot was a Finnish country doctor born in 1802. During twenty years spent working in a remote part of eastern Finland, Lönnrot collected fragments of folk tales and poetry which he believed formed a continuous epic. He undertook eleven… More about Elias Lonnrot"
The Women of Brewster Place,Gloria Naylor,"The National Book Award-winning novel—and contemporary classic—that launched the brilliant career of Gloria Naylor    “[A] shrewd and lyrical portrayal of many of the realities of black life . . . Miss Naylor bravely risks sentimentality and melodrama to write her compassion and outrage large, and she pulls it off triumphantly.” —The New York Times Book Review In her heralded first novel, Gloria Naylor weaves together the stories of seven women living in Brewster Place, a bleak-inner city sanctuary, creating a powerful, moving portrait of the strengths, struggles, and hopes of black women in America. Vulnerable and resilient, openhanded and openhearted, these women forge their lives in a place that in turn threatens and protects—a common prison and a shared home. Naylor renders both loving and painful human experiences with simple eloquence and uncommon intuition. Adapted into a 1989 ABC miniseries starring Oprah Winfrey, The Women of Brewster Place is a touching and unforgettable read. Now with a forword by Tayari Jones.","Gloria Naylor was born in New York City in 1950. She received her B.A. in English from Brooklyn College and her M.A. in Afro-American studies from Yale. Her books include The Women of Brewster Place, which won both the American Book Award… More about Gloria Naylor"
The Transit of Venus,Shirley Hazzard,"The award-winning, New York Times bestselling literary masterpiece of Shirley Hazzard—the story of two beautiful orphan sisters whose fates are as moving and wonderful, and yet as predestined, as the transits of the planets themselvesA Penguin ClassicConsidered “one of the great English-language novels of the twentieth century” (The Paris Review), The Transit of Venus follows Caroline and Grace Bell as they leave Australia to begin a new life in post-war England. From Sydney to London, New York, and Stockholm, and from the 1950s to the 1980s, the two sisters experience seduction and abandonment, marriage and widowhood, love and betrayal.With exquisite, breathtaking prose, Australian novelist Shirley Hazzard tells the story of the displacements and absurdities of modern life. The result is at once an intricately plotted Greek tragedy, a sweeping family saga, and a desperate love story.","Born in Australia, Shirley Hazzard traveled the world during her early years, a result of her parents’ diplomatic postings. In 1947, at the age of 16, she was engaged by British intelligence to monitor the civil war in China. In 1963,… More about Shirley Hazzard"
Little Women,Louisa May Alcott,"A beautiful new Deluxe Edition of Alcott’s beloved novel, with a foreword by National Book Award-winning author and musician Patti Smith. Nominated as one of America’s most-loved novels by PBS’s The Great American Read.Little Women is recognized as one of the best-loved classic children’s stories, transcending the boundaries of time and age, making it as popular with adults as it is with young readers. The beloved story of the March girls is a classic American feminist novel, reflecting the tension between cultural obligation and artistic and personal freedom. But which of the four March sisters to love best? For every reader must have their favorite. Independent, tomboyish Jo; delicate, loving Beth; pretty, kind Meg; or precocious and artistic Amy, the baby of the family? The charming story of these four “little women” and their wise and patient mother Marmee enduring hardships and enjoying adventures in Civil War New England was an instant success when first published in 1868 and has been adored for generations.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","Louisa May Alcott was born in Germantown, Pennsylvania, in 1832, the second of four daughters of Abigail May Alcott and Bronson Alcott, the prominent Transcendentalist thinker and social reformer. Raised in Concord, Massachusetts, and educated by her father, Alcott early on… More about Louisa May Alcott"
The Age of Innocence,Edith Wharton,"Edith Wharton’s acclaimed novel of love, duty, and half-known truths in Gilded Age New York society, with a foreword by bestselling author Elif BatumanDutiful Newland Archer, an eligible young man from New York high society, is about to announce his engagement to May Welland, a suitable match from a good family, when May’s cousin, the beautiful and exotic Countess Ellen Olenska, is introduced into their circle. The Countess brings with her an aura of European sophistication and a hint of perceived scandal, having left her husband and claimed her independence. Her worldliness, disregard for society’s rules, and air of unapproachability attract the sensitive Newland, despite his enthusiasm about a marriage to May and the societal advantages it would bring. Almost against their will, Newland and Ellen develop a passionate bond, and a classic love triangle takes shape as the three young people find themselves drawn into a poignant and bitter conflict between love and duty. Written in 1920, Edith Wharton’s Pulitzer Prize-winning novel about a time and place long gone by—1870s New York City—beautifully captures the complexities of passion, independence, and fulfillment, and how painfully hard it can be for individuals to truly see one another and their place in the world.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","The upper stratum of New York society into which Edith Wharton was born in 1862 provided her with an abundance of material as a novelist but did not encourage her growth as an artist. Educated by tutors and governesses, she… More about Edith Wharton"
We Have Always Lived in the Castle,Shirley Jackson,"Shirley Jackson’s beloved gothic tale of a peculiar girl named Merricat and her family’s dark secretTaking readers deep into a labyrinth of dark neurosis, We Have Always Lived in the Castle is a deliciously unsettling novel about a perverse, isolated, and possibly murderous family and the struggle that ensues when a cousin arrives at their estate. This edition features a new introduction by Jonathan Lethem.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","Shirley Jackson was born in San Francisco in 1916. She first received wide critical acclaim for her short story “The Lottery,” which was published in The New Yorker in 1948. She is the author of six novels, including The Haunting… More about Shirley Jackson"
Not Without Laughter,Langston Hughes,"Our greatest African American poet’s award-winning first novel, about a black boy’s coming-of-age in a largely white Kansas town When first published in 1930, Not Without Laughter established Langston Hughes as not only a brilliant poet and leading light of the Harlem Renaissance but also a gifted novelist. In telling the story of Sandy Rogers, a young African American boy in small-town Kansas, and of his family—his mother, Annjee, a housekeeper for a wealthy white family; his irresponsible father, Jimboy, who plays the guitar and travels the country in search of employment; his strong-willed grandmother Hager, who clings to her faith; his Aunt Tempy, who marries a rich man; and his Aunt Harriet, who struggles to make it as a blues singer—Hughes gives the longings and lineaments of black life in the early twentieth century an important place in the history of racially divided America. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,800 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","Langston Hughes (1902–1967), a central figure of the Harlem Renaissance and one of the most influential and esteemed writers of the twentieth century, was born in Joplin, Missouri, and spent much of his childhood in Kansas before moving to Harlem. His… More about Langston Hughes"
East Goes West,Author > 1,"“A wonderfully resplendent evocation of a newcomer’s America” (Chang-rae Lee, author of Native Speaker) by the father of Korean American literatureA Penguin ClassicHaving fled Japanese-occupied Korea for the gleaming promise of the United States with nothing but four dollars and a suitcase full of Shakespeare to his name, the young, idealistic Chungpa Han arrives in a New York teeming with expatriates, businessmen, students, scholars, and indigents. Struggling to support his studies, he travels throughout the United States and Canada, becoming by turns a traveling salesman, a domestic worker, and a farmer, and observing along the way the idealism, greed, and shifting values of the industrializing twentieth century. Part picaresque adventure, part shrewd social commentary, East Goes West casts a sharply satirical eye on the demands and perils of assimilation. It is a masterpiece not only of Asian American literature but also of American literature.Celebrate Asian American and Pacific Islander (AAPI) Heritage Month with these three Penguin Classics:   America Is in the Heart by Carlos Bulosan (9780143134039) East Goes West by Younghill Kang (9780143134305) The Hanging on Union Square by H. T. Tsiang (9780143134022)",Author error: Sorry I am a failure :( 
Winter in the Blood,James Welch,"A contemporary classic from a major writer of the Native American renaissance — “Brilliant, brutal and, in my opinion, Welch’s best work.” —Tommy Orange, The Washington Post During his life, James Welch came to be regarded as a master of American prose, and his first novel, Winter in the Blood, is one of his most enduring works. The narrator of this beautiful, often disquieting novel is a young Native American man living on the Fort Belknap Reservation in Montana. Sensitive and self-destructive, he searches for something that will bind him to the lands of his ancestors but is haunted by personal tragedy, the dissolution of his once proud heritage, and Montana’s vast emptiness. Winter in the Blood is an evocative and unforgettable work of literature that will continue to move and inspire anyone who encounters it.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","James Welch (1940 – 2003) was the author of the novels Winter in the Blood, The Death of Jim Loney, Fools Crow (for which he received the Los Angeles Times Book Prize, an American Book Award, and the Pacific Northwest Booksellers Award), The Indian Lawyer, and The Heartsong of… More about James Welch"
Monkey King,Author > 1,"A Chinese Lord of the Rings and one of the all-time great fantasy novels–which Neil Gaiman has said “is in the DNA of 1.5 billion people”–now in a thrilling new one-volume translationA Penguin Classics HardcoverA shape-shifting trickster on a kung-fu quest for eternal life, Monkey King is one of the most memorable superheroes in world literature. High-spirited and omni-talented, he amasses dazzling weapons and skills on his journey to immortality: a gold-hooped staff that can grow as tall as the sky and shrink to the size of a needle; the ability to travel 108,000 miles in a single somersault. A master of subterfuge, he can transform himself into whomever or whatever he chooses and turn each of his body’s 84,000 hairs into an army of clones. But his penchant for mischief repeatedly gets him into trouble, and when he raids Heaven’s Orchard of Immortal Peaches and gorges himself on the elixirs of the gods, the Buddha pins him beneath a mountain, freeing him only five hundred years later for a chance to redeem himself: He is to protect the pious monk Tripitaka on his fourteen-year journey to India in search of precious Buddhist sutras that will bring enlightenment to the Chinese empire.Joined by two other fallen immortals–Pigsy, a rice-loving pig able to fly with its ears, and Sandy, a depressive man-eating river-sand monster–Monkey King undergoes eighty-one trials, doing battle with Red Boy, Princess Jade-Face, the Monstress Dowager, and all manner of dragons, ogres, wizards, and femmes fatales, navigating the perils of Fire-Cloud Cave, the River of Flowing Sand, the Water-Crystal Palace, and Casserole Mountain, and being serially captured, lacquered, sautéed, steamed, and liquefied, but always hatching an ingenious plan to get himself and his fellow pilgrims out of their latest jam.Monkey King: Journey to the West is at once a rollicking adventure, a comic satire of Chinese bureaucracy, and a spring of spiritual insight. With this new translation, the irrepressible rogue hero of one of the Four Great Classical Novels of Chinese literature has the potential to vault, with his signature cloud-somersault and unerring sense for fun, into the hearts of millions of Americans.",Author error: Sorry I am a failure :( 
Layli and Majnun,Author > 1,"The Persian epic that inspired Eric Clapton’s unforgettable love song “Layla” and that Lord Byron called “the Romeo and Juliet of the East,” in a masterly new translationA Penguin ClassicThe iconic love story of the Middle East, by a twelfth-century Persian poet who has been compared to Shakespeare for his subtlety, inventiveness, and dramatic force, Layli and Majnun tells of star-crossed lovers whose union is tragically thwarted by their families and whose passion continues to ripple out across the centuries. Theirs is a love that lasts a lifetime, and in Nezami’s immortal telling, erotic longing blends with spiritual self-denial in an allegory of Sufi aspiration, as the amenities of civilization give way to the elemental wilderness, desire is sublimated into a mystical renunciation of the physical world, and the soul confronts its essence. This is a tour de force of Persian literature, in a translation that captures the extraordinary power and virtuosity of the original.",Author error: Sorry I am a failure :( 
